,name,Page,audience,comment,presents,share,url,Time,CorrectedTime_U,CorrectedTime_L,fault
0,忘我,http://changba.com/s/EXb4wphbN-GY464jDRV_KA,64,4,8,0,http://upuwmp3.changba.com/userdata/userwork/979/1208653979.mp3,2019-12-29 00:00:00,2019-12-29 00:00:00,2019-12-29 00:00:00,False
1,Real Friends,http://changba.com/s/FBZMCWgrLY3sO7sUEFbgSg,32,0,5,0,http://ksapuw.changba.com/userdata/userwork/818/1208653818.mp3,,2019-12-29 00:00:00,2019-12-29 00:00:00,True
2,When I Was Your Man,http://changba.com/s/GZr_J5_BvVr4a-ftEiASmw,29,3,4,2,http://upscuw.changba.com/1208653739.mp3,2019-12-29 00:00:00,2019-12-29 00:00:00,2019-12-29 00:00:00,False
3,Nasa,http://changba.com/s/GZr_J5_BvVpGx_odmAqtBQ,25,0,3,0,http://upscuw.changba.com/1208653711.mp3,,2019-12-29 00:00:00,2019-12-28 00:00:00,True
4,Scars To Your,http://changba.com/s/oTPTKN_3qXjKpIfapWDAAA,16,0,0,0,http://qiniuuwmp3.changba.com/1208653567.mp3,,2019-12-29 00:00:00,2019-12-28 00:00:00,True
5,起风了,http://changba.com/s/2dFvapj0g5tF2uJp2eys4g,97,5,5,3,http://upuwmp3.changba.com/userdata/userwork/390/1208485390.mp3,2019-12-28 00:00:00,2019-12-28 00:00:00,2019-12-28 00:00:00,False
6,Somethings Got A Hold On Me,http://changba.com/s/VPiZlFqyzhleSIqq_4P57A,59,0,2,0,http://upscuw.changba.com/1208481536.mp3,,2019-12-28 00:00:00,2019-12-24 00:00:00,True
7,身骑白马,http://changba.com/s/dQzmd-t1YW7PKXjFn-SBCA,46,0,9,0,http://qiniuuwmp3.changba.com/1208178081.mp3,,2019-12-28 00:00:00,2019-12-24 00:00:00,True
8,天天想你,http://changba.com/s/t-tuJhWNXmt8WV7Ns2VkhQ,18,0,2,0,http://upscuw.changba.com/1208176537.mp3,,2019-12-28 00:00:00,2019-12-24 00:00:00,True
9,Hollywood,http://changba.com/s/hXu-VhF9Yafg-GJB7Gc4wA,12,0,2,0,http://qiniuuwmp3.changba.com/1208176365.mp3,,2019-12-28 00:00:00,2019-12-24 00:00:00,True
10,Cry Me A River,http://changba.com/s/pxplS3UrrduYV504pI7MBA,33,0,1,0,http://upscuw.changba.com/1208174224.mp3,,2019-12-28 00:00:00,2019-12-24 00:00:00,True
