,audience,comment,presents,share,url,Time
0,64,4,8,0,http://upuwmp3.changba.com/userdata/userwork/979/1208653979.mp3,2019-12-29 00:00:00
1,32,0,5,0,http://ksapuw.changba.com/userdata/userwork/818/1208653818.mp3,
2,29,3,4,2,http://upscuw.changba.com/1208653739.mp3,2019-12-29 00:00:00
3,25,0,3,0,http://upscuw.changba.com/1208653711.mp3,
4,16,0,0,0,http://qiniuuwmp3.changba.com/1208653567.mp3,
5,97,5,5,3,http://upuwmp3.changba.com/userdata/userwork/390/1208485390.mp3,2019-12-28 00:00:00
6,59,0,2,0,http://upscuw.changba.com/1208481536.mp3,
7,46,0,9,0,http://qiniuuwmp3.changba.com/1208178081.mp3,
8,18,0,2,0,http://upscuw.changba.com/1208176537.mp3,
9,12,0,2,0,http://qiniuuwmp3.changba.com/1208176365.mp3,
10,33,0,1,0,http://upscuw.changba.com/1208174224.mp3,
11,27,0,0,0,http://upscuw.changba.com/1207853924.mp3,
12,21,1,2,0,http://qiniuuwmp3.changba.com/1207851490.mp3,2019-12-24 00:00:00
13,17,0,2,0,http://qiniuuwmp3.changba.com/1207850384.mp3,
14,46,0,0,0,http://qiniuuwmp3.changba.com/1207849093.mp3,
15,19,0,0,0,http://qiniuuwmp3.changba.com/1207848175.mp3,
16,21,0,0,0,http://upscuw.changba.com/1207847519.mp3,
17,34,1,3,0,http://qiniuuwmp3.changba.com/1207846965.mp3,2019-12-24 00:00:00
18,99,7,11,3,http://qiniuuwmp3.changba.com/1206859750.mp3,2019-12-18 00:00:00
19,59,3,5,1,http://qiniuuwmp3.changba.com/1206718798.mp3,2019-12-20 00:00:00
20,78,5,9,3,http://qiniuuwmp3.changba.com/1206702194.mp3,2019-12-17 00:00:00
21,50,2,12,2,http://qiniuuwmp3.changba.com/1206042472.mp3,2019-12-16 00:00:00
22,41,1,0,0,http://upscuw.changba.com/1206034201.mp3,2019-12-23 00:00:00
23,55,0,3,0,http://upscuw.changba.com/1205721914.mp3,
24,64,1,5,0,http://qiniuuwmp3.changba.com/1205547761.mp3,2019-12-18 00:00:00
25,30,0,2,0,http://upscuw.changba.com/1205547529.mp3,
26,157,3,8,0,http://qiniuuwmp3.changba.com/1205042649.mp3,2019-12-07 00:00:00
27,53,1,9,0,http://upscuw.changba.com/1205039921.mp3,2019-12-07 00:00:00
28,43,2,2,0,http://qiniuuwmp3.changba.com/1205039898.mp3,2019-12-07 00:00:00
29,42,1,1,0,http://upscuw.changba.com/1205039831.mp3,2019-12-07 00:00:00
30,26,0,1,0,http://upscuw.changba.com/1205039823.mp3,
31,35,1,0,0,https://qiniuuwmp3.changba.com/1204909077.mp3,2019-12-07 00:00:00
32,49,2,6,0,http://qiniuuwmp3.changba.com/1204879150.mp3,2019-12-06 00:00:00
33,30,0,1,0,http://qiniuuwmp3.changba.com/1204877946.mp3,
34,68,0,6,0,http://qiniuuwmp3.changba.com/1204579871.mp3,
35,42,2,1,1,http://upscuw.changba.com/1204457805.mp3,2019-12-03 00:00:00
36,43,1,6,0,http://qiniuuwmp3.changba.com/1204123890.mp3,2019-12-09 00:00:00
37,19,0,0,0,http://qiniuuwmp3.changba.com/1204123394.mp3,
38,25,1,2,0,http://upscuw.changba.com/1204123142.mp3,2019-12-01 00:00:00
39,87,2,9,1,http://upscuw.changba.com/1203255613.mp3,2019-11-26 00:00:00
40,120,3,7,0,http://qiniuuwmp3.changba.com/1203218596.mp3,2019-11-26 00:00:00
41,38,2,12,0,http://qiniuuwmp3.changba.com/1203211083.mp3,2019-11-26 00:00:00
42,33,1,9,0,http://qiniuuwmp3.changba.com/1203050950.mp3,2019-11-25 00:00:00
43,22,1,1,0,http://upscuw.changba.com/1203047929.mp3,2019-11-25 00:00:00
44,38,1,0,0,http://upscuw.changba.com/1202873810.mp3,2019-11-24 00:00:00
45,41,2,3,0,http://qiniuuwmp3.changba.com/1202698595.mp3,2019-11-23 00:00:00
46,62,3,4,1,http://qiniuuwmp3.changba.com/1202492464.mp3,2019-11-22 00:00:00
47,189,7,30,1,http://upscuw.changba.com/1202169140.mp3,2019-11-20 00:00:00
48,63,3,2,0,http://upscuw.changba.com/1201635144.mp3,2019-11-17 00:00:00
49,85,4,15,0,http://upuwmp3.changba.com/userdata/userwork/75/1201453075.mp3,2019-11-16 00:00:00
50,65,2,9,2,http://qiniuuwmp3.changba.com/1201450366.mp3,2019-11-16 00:00:00
51,136,1,1,0,http://qiniuuwmp3.changba.com/1201449862.mp3,2019-11-16 00:00:00
52,120,3,9,1,http://upscuw.changba.com/1199021729.mp3,2019-11-02 00:00:00
53,76,2,8,1,http://qiniuuwmp3.changba.com/1198858864.mp3,2019-11-01 00:00:00
54,99,4,11,3,http://upscuw.changba.com/1198856240.mp3,2019-11-01 00:00:00
55,85,1,6,0,http://upuwmp3.changba.com/userdata/userwork/944/1198545944.mp3,2019-10-30 00:00:00
56,130,1,3,2,http://upscuw.changba.com/1198544629.mp3,2019-10-30 00:00:00
57,126,2,11,0,http://upscuw.changba.com/1196552217.mp3,2019-10-18 00:00:00
58,67,1,8,0,http://qiniuuwmp3.changba.com/1196393488.mp3,2019-10-17 00:00:00
59,188,4,10,1,http://qiniuuwmp3.changba.com/1196069778.mp3,2019-10-15 00:00:00
60,109,5,6,0,http://upscuw.changba.com/1195716030.mp3,2019-10-13 00:00:00
61,140,4,7,0,http://qiniuuwmp3.changba.com/1195549146.mp3,2019-10-12 00:00:00
62,215,5,14,2,http://qiniuuwmp3.changba.com/1194887886.mp3,2019-10-08 00:00:00
63,55,1,3,0,http://upscuw.changba.com/1194226330.mp3,2019-10-04 00:00:00
64,88,5,11,0,http://upscuw.changba.com/1189180127.mp3,2019-09-08 00:00:00
65,139,7,20,10,http://upscuw.changba.com/1188970620.mp3,2019-09-07 00:00:00
66,98,5,6,1,http://ksapuw.changba.com/userdata/userwork/215/1188925215.mp3,2019-09-07 00:00:00
67,200,4,8,3,http://qiniuuwmp3.changba.com/1184684161.mp3,2019-08-16 00:00:00
68,351,12,39,9,http://upscuw.changba.com/1184296929.mp3,2019-08-15 00:00:00
69,98,2,2,1,http://qiniuuwmp3.changba.com/1183701695.mp3,2019-08-11 00:00:00
70,193,1,9,3,http://upscuw.changba.com/1183693600.mp3,2019-08-11 00:00:00
71,328,7,10,3,http://qiniuuwmp3.changba.com/1183244252.mp3,2019-08-09 00:00:00
72,73,4,12,0,http://upscuw.changba.com/1182877206.mp3,2019-08-07 00:00:00
73,71,2,3,0,http://upscuw.changba.com/1180995525.mp3,2019-07-29 00:00:00
74,89,9,5,3,http://upscuw.changba.com/1178380520.mp3,2019-07-16 00:00:00
75,111,4,14,2,http://upscuw.changba.com/1174683323.mp3,2019-06-28 00:00:00
76,450,41,30,34,http://upscuw.changba.com/1172763007.mp3,2019-06-20 00:00:00
77,83,1,4,0,http://qiniuuwmp3.changba.com/1170158968.mp3,2019-06-07 00:00:00
78,130,4,9,0,http://upscuw.changba.com/1170158002.mp3,2019-06-07 00:00:00
79,127,4,2,1,http://qiniuuwmp3.changba.com/1169899882.mp3,2019-06-06 00:00:00
80,246,8,23,4,http://upscuw.changba.com/1169262422.mp3,2019-06-03 00:00:00
81,49,2,6,0,http://upscuw.changba.com/1169257621.mp3,2019-06-03 00:00:00
82,89,2,6,1,http://qiniuuwmp3.changba.com/1169257291.mp3,2019-06-03 00:00:00
83,118,1,0,0,http://qiniuuwmp3.changba.com/1169256157.mp3,2019-06-03 00:00:00
84,66,3,2,0,http://upscuw.changba.com/1169013631.mp3,2019-06-02 00:00:00
85,73,3,6,0,http://upscuw.changba.com/1169002805.mp3,2019-06-02 00:00:00
86,93,4,6,1,http://upscuw.changba.com/1168609331.mp3,2019-06-01 00:00:00
87,52,3,1,4,http://upscuw.changba.com/1168608122.mp3,2019-06-01 00:00:00
88,68,7,3,1,http://qiniuuwmp3.changba.com/1168604768.mp3,2019-06-01 00:00:00
89,128,5,3,2,http://upscuw.changba.com/1168356703.mp3,2019-05-31 00:00:00
90,104,2,12,0,http://qiniuuwmp3.changba.com/1166466347.mp3,2019-05-25 00:00:00
91,224,6,9,2,http://qiniuuwmp3.changba.com/1164376495.mp3,2019-05-18 00:00:00
92,255,4,26,1,http://qiniuuwmp3.changba.com/1164345873.mp3,2019-05-18 00:00:00
93,62,3,4,1,http://qiniuuwmp3.changba.com/1163796689.mp3,2019-05-16 00:00:00
94,180,5,9,2,http://qiniuuwmp3.changba.com/1163791983.mp3,2019-05-16 00:00:00
95,70,1,9,0,http://upscuw.changba.com/1163331913.mp3,2019-05-14 00:00:00
96,78,3,2,1,http://qiniuuwmp3.changba.com/1163324997.mp3,2019-05-14 00:00:00
97,56,1,1,0,http://qiniuuwmp3.changba.com/1162683697.mp3,2019-05-12 00:00:00
98,63,2,4,0,http://qiniuuwmp3.changba.com/1162683288.mp3,2019-05-12 00:00:00
99,100,5,13,2,http://upscuw.changba.com/1162681123.mp3,2019-05-12 00:00:00
100,150,4,4,2,http://qiniuuwmp3.changba.com/1162443678.mp3,2019-05-11 00:00:00
101,136,6,11,2,http://upscuw.changba.com/1162132325.mp3,2019-05-10 00:00:00
102,75,5,17,0,http://upscuw.changba.com/1161407400.mp3,2019-05-07 00:00:00
103,135,4,6,0,http://qiniuuwmp3.changba.com/1161204472.mp3,2019-05-06 00:00:00
104,132,3,14,0,http://upscuw.changba.com/1161148108.mp3,2019-05-06 00:00:00
105,289,4,3,2,http://upscuw.changba.com/1160925115.mp3,2019-05-05 00:00:00
106,58,1,1,0,http://qiniuuwmp3.changba.com/1160723989.mp3,2019-05-04 00:00:00
